dep_lat,dep_lon,arr_lat,arr_lon,flight_nb
49.013,2.55,25.253,55.364,272
25.253,55.364,52.309,4.764,273
52.309,4.764,25.253,55.364,274
25.253,55.364,33.549,72.826,275
33.549,72.826,25.253,55.364,276
25.253,55.364,37.469,126.451,277
37.469,126.451,25.253,55.364,278
25.253,55.364,51.471,-0.462,279
51.471,-0.462,25.253,55.364,280
25.253,55.364,1.35,103.994,281
1.35,103.994,25.253,55.364,282
25.253,55.364,-37.673,144.843,283
-37.673,144.843,-37.008,174.792,284
-37.008,174.792,-37.673,144.843,285
-37.673,144.843,25.253,55.364,286
25.253,55.364,53.349,-2.28,287
53.349,-2.28,25.253,55.364,288
25.253,55.364,51.471,-0.462,289
51.471,-0.462,25.253,55.364,290
25.253,55.364,51.471,-0.462,291
51.471,-0.462,25.253,55.364,292
25.253,55.364,37.469,126.451,293
37.469,126.451,25.253,55.364,294
25.253,55.364,40.64,-73.779,295
40.64,-73.779,25.253,55.364,296
25.253,55.364,-37.673,144.843,297
-37.673,144.843,-37.008,174.792,298
-37.008,174.792,-37.673,144.843,299
-37.673,144.843,25.253,55.364,300
25.253,55.364,43.677,-79.631,301
43.677,-79.631,25.253,55.364,302
25.253,55.364,41.8,12.239,303
41.8,12.239,25.253,55.364,304
25.253,55.364,40.08,116.585,305
40.08,116.585,25.253,55.364,306
25.253,55.364,2.746,101.71,307
2.746,101.71,25.253,55.364,308
25.253,55.364,21.68,39.157,309
21.68,39.157,25.253,55.364,310
25.253,55.364,40.64,-73.779,311
40.64,-73.779,43.677,-79.631,312
43.677,-79.631,25.253,55.364,313
25.253,55.364,51.471,-0.462,314
51.471,-0.462,25.253,55.364,315
25.253,55.364,49.013,2.55,316
49.013,2.55,25.253,55.364,317
25.253,55.364,21.68,39.157,318
21.68,39.157,25.253,55.364,319
25.253,55.364,37.469,126.451,320
37.469,126.451,25.253,55.364,321
25.253,55.364,51.471,-0.462,322
51.471,-0.462,25.253,55.364,323
25.253,55.364,-33.946,151.177,324
-33.946,151.177,25.253,55.364,325
25.253,55.364,52.309,4.764,326
52.309,4.764,25.253,55.364,327
25.253,55.364,-33.946,151.177,328
-33.946,151.177,-37.008,174.792,329
-37.008,174.792,-33.946,151.177,330
-33.946,151.177,25.253,55.364,331
25.253,55.364,49.013,2.55,332
49.013,2.55,25.253,55.364,333
25.253,55.364,51.471,-0.462,334
51.471,-0.462,25.253,55.364,335
25.253,55.364,21.68,39.157,336
21.68,39.157,25.253,55.364,337
25.253,55.364,40.64,-73.779,338
40.64,-73.779,25.253,55.364,339
25.253,55.364,31.143,121.805,340
31.143,121.805,25.253,55.364,341
25.253,55.364,1.35,103.994,342
1.35,103.994,25.253,55.364,343
25.253,55.364,1.35,103.994,344
1.35,103.994,25.253,55.364,345
25.253,55.364,2.746,101.71,346
2.746,101.71,25.253,55.364,347
25.253,55.364,40.64,-73.779,348
40.64,-73.779,25.253,55.364,349
25.253,55.364,51.471,-0.462,350
51.471,-0.462,25.253,55.364,351
25.253,55.364,37.469,126.451,352
37.469,126.451,25.253,55.364,353
25.253,55.364,41.8,12.239,354
41.8,12.239,25.253,55.364,355
25.253,55.364,51.471,-0.462,356
51.471,-0.462,25.253,55.364,357
25.253,55.364,2.746,101.71,358
2.746,101.71,25.253,55.364,359
25.253,55.364,49.013,2.55,360
49.013,2.55,25.253,55.364,361
25.253,55.364,38.781,-9.136,362
38.781,-9.136,25.253,55.364,363
25.253,55.364,53.349,-2.28,364
53.349,-2.28,25.253,55.364,365
25.253,55.364,40.08,116.585,366
40.08,116.585,25.253,55.364,367
25.253,55.364,-37.673,144.843,368
-37.673,144.843,-37.008,174.792,369
-37.008,174.792,-37.673,144.843,370
-37.673,144.843,25.253,55.364,371
25.253,55.364,51.471,-0.462,372
51.471,-0.462,25.253,55.364,373
25.253,55.364,40.64,-73.779,374
40.64,-73.779,25.253,55.364,375
